# mahimahi mm-link (Downlink) [/home/burhan/Desktop/pantheon/src/experiments/12mbps.trace] > /home/burhan/Desktop/pantheon/src/experiments/data/vegas_mm_acklink_run1.log
# command line: 'mm-link' '/home/burhan/Desktop/pantheon/src/experiments/12mbps.trace' '/home/burhan/Desktop/pantheon/src/experiments/12mbps.trace' '--uplink-log=/home/burhan/Desktop/pantheon/src/experiments/data/vegas_mm_datalink_run1.log' '--downlink-log=/home/burhan/Desktop/pantheon/src/experiments/data/vegas_mm_acklink_run1.log' 'python' '/home/burhan/Desktop/pantheon/src/experiments/tunnel_manager.py'
# queue: infinite
# init timestamp: 1744932807982
# base timestamp: 34
# mahimahi config: [link] 
34 + 80
34 + 52
34 + 80
35 # 1504
35 - 80 1
35 - 52 1
35 - 80 1
36 # 1504
37 # 1504
38 # 1504
39 # 1504
40 # 1504
41 # 1504
42 # 1504
43 # 1504
44 # 1504
45 # 1504
46 # 1504
47 # 1504
48 # 1504
49 # 1504
50 # 1504
51 # 1504
52 # 1504
53 # 1504
54 # 1504
55 # 1504
56 # 1504
57 # 1504
58 # 1504
59 # 1504
60 # 1504
61 # 1504
62 # 1504
63 # 1504
64 # 1504
65 # 1504
66 # 1504
67 # 1504
68 # 1504
69 # 1504
70 # 1504
71 # 1504
72 # 1504
73 # 1504
74 # 1504
75 # 1504
76 # 1504
77 # 1504
78 # 1504
79 # 1504
80 # 1504
81 # 1504
82 # 1504
83 # 1504
84 # 1504
85 # 1504
86 # 1504
87 # 1504
88 # 1504
